序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
297,2022,小型项目,25.0,0.73,0.95,-0.21999999999999997,代理商,华东,,,,,,,,
298,2022,小型项目,10.5,0.9,1.0,-0.09999999999999998,代理商,华南,,,,,,,,
299,2022,小型项目,19.8,0.8,0.832,-0.03199999999999992,直签,华东,,,,,,,,
300,2022,小型项目,10.5,0.97,0.9771,-0.007099999999999995,代理商,华北,,,,,,,,
301,2022,微型项目,1.5,0.97,0.8933,0.07669999999999999,直签,华北,,,,,,,,
302,2022,微型项目,8.5,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
303,2022,小型项目,11.5,0.97,0.9261,0.04389999999999994,代理商,华南,,,,,,,,
304,2022,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
305,2022,微型项目,1.68,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
306,2022,微型项目,1.6,0.97,0.8,0.16999999999999993,代理商,华东,,,,,,,,
307,2022,中型项目,36.0,0.82,0.9217,-0.10170000000000001,代理商,华南,,,,,,,,
308,2022,微型项目,6.89,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
309,2022,小型项目,14.04,0.11,0.7293,-0.6193,直签,华北,,,,,,,,
310,2022,小型项目,12.6,0.86,0.9048,-0.04480000000000006,代理商,华北,,,,,,,,
311,2022,小型项目,18.0,0.9,1.0,-0.09999999999999998,直签,华东,,,,,,,,
312,2022,中型项目,50.0,0.2,0.8333,-0.6333,直签,华东,,,,,,,,
313,2022,小型项目,15.0,0.95,0.96,-0.010000000000000009,直签,西南,,,,,,,,
314,2022,中型项目,56.0,0.58,0.2679,0.31209999999999993,代理商,华南,,,,,,,,
315,2022,大型项目,115.0,0.88,0.564,0.31600000000000006,代理商,华南,,,,,,,,
316,2022,微型项目,2.88,0.97,0.9236,0.0464,代理商,华南,,,,,,,,
317,2022,小型项目,11.1,0.73,0.9306,-0.2006,代理商,华南,,,,,,,,
318,2022,微型项目,1.4,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
319,2022,小型项目,26.0,0.88,0.9371,-0.05710000000000004,代理商,华北,,,,,,,,
320,2022,微型项目,5.0,0.97,0.89,0.07999999999999996,直签,华北,,,,,,,,
321,2022,大型项目,125.0,0.43,0.5071,-0.0771,直签,华东,,,,,,,,
322,2022,小型项目,16.0,0.75,0.8144,-0.06440000000000001,代理商,华东,,,,,,,,
323,2022,中型项目,79.75,0.78,0.7657,0.01429999999999998,直签,华东,,,,,,,,
324,2022,中型项目,40.0,0.96,0.8286,0.13139999999999996,代理商,华北,,,,,,,,
325,2022,中型项目,38.0,-1.07,0.6684,-1.7384,直签,华东,,,,,,,,
326,2022,微型项目,0.45,0.97,1.0,-0.030000000000000027,直签,西北,,,,,,,,
327,2022,微型项目,4.97,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
328,2022,小型项目,20.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
329,2022,大型项目,185.0,0.78,0.8571,-0.07709999999999995,直签,华北,,,,,,,,
330,2022,微型项目,0.6,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
331,2022,微型项目,2.25,0.97,0.7556,0.21439999999999992,代理商,华东,,,,,,,,
332,2022,微型项目,1.3,0.91,1.0,-0.08999999999999997,直签,华北,,,,,,,,
333,2022,微型项目,10.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
334,2022,小型项目,13.0,0.74,0.8477,-0.10770000000000002,代理商,华东,,,,,,,,
335,2022,微型项目,7.7,0.74,0.8571,-0.11709999999999998,代理商,华南,,,,,,,,
336,2022,微型项目,1.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
337,2022,小型项目,30.0,0.5,0.704,-0.20399999999999996,代理商,西南,,,,,,,,
338,2022,微型项目,7.0,0.92,0.8857,0.0343,代理商,华北,,,,,,,,
339,2022,小型项目,15.8,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
340,2022,小型项目,11.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
341,2022,大型项目,140.0,0.39,0.7038,-0.31379999999999997,代理商,华北,,,,,,,,
342,2022,微型项目,6.5,0.97,0.9154,0.05459999999999998,代理商,华南,,,,,,,,
343,2022,微型项目,2.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
344,2022,微型项目,7.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
345,2022,小型项目,25.0,0.8,0.8,0.0,直签,华北,,,,,,,,
346,2022,小型项目,11.5,0.57,0.8261,-0.2561,代理商,华东,,,,,,,,
347,2022,小型项目,13.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
348,2022,中型项目,60.0,0.7,0.8103,-0.11030000000000006,代理商,华北,,,,,,,,
349,2022,小型项目,18.0,0.7,0.6941,0.005899999999999905,直签,华北,,,,,,,,
350,2022,中型项目,45.32,-0.04,0.8411,-0.8811,代理商,华南,,,,,,,,
351,2022,小型项目,22.92,0.87,0.5366,0.33340000000000003,代理商,华北,,,,,,,,
352,2022,中型项目,78.32,0.57,0.8881,-0.31810000000000005,直签,华南,,,,,,,,
353,2022,小型项目,11.0,0.96,0.898,0.061999999999999944,直签,西南,,,,,,,,
354,2022,微型项目,1.5,0.97,0.8533,0.11670000000000003,代理商,华南,,,,,,,,
355,2022,微型项目,3.0,0.76,1.0,-0.24,代理商,华南,,,,,,,,
356,2022,微型项目,3.0,0.97,0.9267,0.043300000000000005,直签,华南,,,,,,,,
357,2022,小型项目,10.5,0.79,0.8398,-0.049799999999999955,代理商,华北,,,,,,,,
358,2022,微型项目,1.72,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
359,2022,小型项目,25.0,0.8,0.894,-0.09399999999999997,代理商,华南,,,,,,,,
360,2022,中型项目,68.5,0.54,0.9075,-0.36749999999999994,直签,华北,,,,,,,,
361,2022,微型项目,1.0,0.86,1.0,-0.14,代理商,华东,,,,,,,,
362,2022,微型项目,1.9,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
363,2022,微型项目,10.0,0.94,0.89,0.04999999999999993,代理商,华南,,,,,,,,
364,2022,中型项目,60.0,0.94,0.964,-0.02400000000000002,代理商,华北,,,,,,,,
365,2022,中型项目,84.71,0.81,0.8832,-0.07319999999999993,代理商,华中,,,,,,,,
366,2022,中型项目,85.0,0.61,0.712,-0.10199999999999998,代理商,华北,,,,,,,,
367,2022,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
368,2022,微型项目,7.2,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
369,2022,小型项目,29.4,0.96,1.0,-0.040000000000000036,直签,华北,,,,,,,,
370,2022,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
371,2022,小型项目,12.5,0.83,0.856,-0.026000000000000023,代理商,华北,,,,,,,,
372,2022,微型项目,10.0,0.74,0.74,0.0,直签,华北,,,,,,,,
373,2022,小型项目,12.5,0.72,0.872,-0.15200000000000002,代理商,华东,,,,,,,,
374,2022,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
375,2022,微型项目,1.5,0.97,1.0,-0.030000000000000027,直签,西南,,,,,,,,
376,2022,微型项目,5.6,0.27,0.3571,-0.08709999999999996,代理商,华南,,,,,,,,
377,2022,微型项目,0.99,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
378,2022,中型项目,46.0,0.28,0.7014,-0.4214,直签,华东,,,,,,,,
379,2022,微型项目,1.2,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
380,2022,微型项目,4.76,0.97,0.8151,0.15489999999999993,代理商,华南,,,,,,,,
381,2022,小型项目,14.6,0.76,0.8288,-0.06879999999999997,代理商,华东,,,,,,,,
382,2022,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
383,2022,中型项目,31.0,0.7,0.904,-0.20400000000000007,直签,华北,,,,,,,,
384,2022,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
385,2022,微型项目,2.5,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
386,2022,微型项目,9.8,0.94,0.951,-0.01100000000000001,代理商,华北,,,,,,,,
387,2022,小型项目,14.0,0.47,0.6143,-0.14429999999999998,代理商,华南,,,,,,,,
388,2022,中型项目,35.9,0.92,0.9381,-0.018100000000000005,代理商,华北,,,,,,,,
389,2022,中型项目,36.0,0.91,0.94,-0.029999999999999916,代理商,华北,,,,,,,,
390,2022,微型项目,9.45,0.59,0.7047,-0.11470000000000002,直签,华东,,,,,,,,
391,2022,中型项目,87.0,0.74,0.9179,-0.17790000000000006,代理商,华东,,,,,,,,
392,2022,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
393,2022,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
394,2022,微型项目,4.5,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
395,2022,微型项目,1.9,0.97,0.7474,0.22260000000000002,直签,华北,,,,,,,,
396,2022,中型项目,46.5,0.85,0.8495,0.0004999999999999449,直签,西北,,,,,,,,
397,2022,微型项目,8.8,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
398,2022,中型项目,70.0,0.48,0.8824,-0.4024,代理商,华北,,,,,,,,
399,2022,小型项目,21.5,0.95,0.9246,0.025399999999999978,直签,华北,,,,,,,,
400,2022,中型项目,45.0,0.96,0.91,0.04999999999999993,代理商,华东,,,,,,,,
401,2022,中型项目,38.9,0.96,0.9635,-0.0035000000000000586,直签,华北,,,,,,,,
402,2022,中型项目,65.0,0.44,0.7148,-0.2748,直签,西北,,,,,,,,
403,2022,中型项目,40.0,0.88,0.9,-0.020000000000000018,代理商,华北,,,,,,,,
404,2022,微型项目,7.36,0.24,0.5313,-0.2913,直签,华南,,,,,,,,
405,2022,大型项目,170.9,0.48,0.8118,-0.3318,代理商,华中,,,,,,,,
406,2022,微型项目,2.9,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
407,2022,微型项目,2.0,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
408,2022,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
409,2022,小型项目,28.0,0.95,0.6986,0.25139999999999996,直签,华南,,,,,,,,
410,2022,微型项目,1.5,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
411,2022,小型项目,10.2,0.6,0.7549,-0.15490000000000004,代理商,华北,,,,,,,,
412,2022,微型项目,10.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
413,2022,中型项目,52.0,0.9,0.95,-0.04999999999999993,代理商,华南,,,,,,,,
414,2022,小型项目,14.0,0.65,0.9143,-0.2643,代理商,华北,,,,,,,,
415,2022,微型项目,7.6,0.97,0.6842,0.28579999999999994,直签,西北,,,,,,,,
416,2022,微型项目,2.8,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
417,2022,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
418,2022,中型项目,37.1,-0.14,0.6226,-0.7626000000000001,直签,华南,,,,,,,,
419,2022,中型项目,38.9,0.96,0.9777,-0.01770000000000005,直签,华北,,,,,,,,
420,2022,小型项目,30.0,0.16,0.52,-0.36,直签,华北,,,,,,,,
421,2022,小型项目,11.0,0.97,0.8773,0.0927,直签,华北,,,,,,,,
422,2022,中型项目,94.18,0.69,0.7769,-0.08690000000000009,直签,华南,,,,,,,,
423,2022,微型项目,4.96,0.38,0.6371,-0.2571,直签,西南,,,,,,,,
424,2022,小型项目,15.0,0.96,0.8733,0.0867,直签,华北,,,,,,,,
425,2022,大型项目,132.0,0.66,0.7872,-0.12719999999999998,直签,华东,,,,,,,,
426,2022,中型项目,38.0,0.62,0.8652,-0.24519999999999997,代理商,华北,,,,,,,,
427,2022,大型项目,160.0,0.8,0.887,-0.08699999999999997,直签,华东,,,,,,,,
428,2022,微型项目,1.56,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
429,2022,大型项目,146.0,0.94,1.0,-0.06000000000000005,直签,华北,,,,,,,,
430,2022,大型项目,189.21,0.63,0.7649,-0.13490000000000002,直签,华东,,,,,,,,
431,2022,微型项目,10.0,0.69,0.706,-0.016000000000000014,代理商,华东,,,,,,,,
432,2022,微型项目,8.0,0.81,0.7243,0.0857,代理商,华东,,,,,,,,
433,2022,大型项目,234.0,0.94,0.9579,-0.017900000000000027,代理商,华东,,,,,,,,
434,2022,小型项目,12.8,0.88,0.8852,-0.005199999999999982,代理商,西北,,,,,,,,
435,2022,小型项目,30.0,0.81,0.8255,-0.015499999999999958,直签,华北,,,,,,,,
436,2022,微型项目,5.8,0.91,0.9585,-0.04849999999999999,代理商,华东,,,,,,,,
437,2022,中型项目,98.0,0.76,0.9,-0.14,直签,华北,,,,,,,,
438,2022,微型项目,2.36,0.97,0.822,0.14800000000000002,直签,华南,,,,,,,,
439,2022,小型项目,11.25,0.72,0.64,0.07999999999999996,直签,华北,,,,,,,,
440,2022,中型项目,75.0,0.41,0.5787,-0.16870000000000002,代理商,华东,,,,,,,,
441,2022,微型项目,2.24,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
442,2022,小型项目,16.8,0.96,0.9673,-0.007300000000000084,代理商,华东,,,,,,,,
443,2022,中型项目,49.0,0.88,0.8769,0.0030999999999999917,直签,华北,,,,,,,,
444,2022,大型项目,133.0,0.05,0.0616,-0.0116,直签,华东,,,,,,,,
445,2022,中型项目,43.5,0.86,0.9563,-0.09630000000000005,代理商,华东,,,,,,,,
446,2022,小型项目,30.0,0.83,0.7987,0.031299999999999994,代理商,华东,,,,,,,,
447,2022,微型项目,2.85,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
448,2022,小型项目,14.96,0.74,0.1243,0.6157,直签,西南,,,,,,,,
449,2022,微型项目,1.28,0.92,1.0,-0.07999999999999996,直签,华北,,,,,,,,
450,2022,超大型项目,564.57,0.94,0.9697,-0.02970000000000006,代理商,华南,,,,,,,,
451,2022,大型项目,130.08,0.12,0.4075,-0.2875,直签,华南,,,,,,,,
452,2022,微型项目,9.9,0.97,0.9556,0.014399999999999968,直签,华东,,,,,,,,
453,2022,微型项目,5.0,0.97,0.916,0.05399999999999994,代理商,华南,,,,,,,,
454,2022,大型项目,299.0,0.83,0.9512,-0.12120000000000009,代理商,华北,,,,,,,,
455,2022,微型项目,0.7,0.97,0.8,0.16999999999999993,代理商,华南,,,,,,,,
456,2022,大型项目,115.46,0.97,0.981,-0.01100000000000001,直签,华南,,,,,,,,
457,2022,小型项目,26.5,0.92,0.8848,0.03520000000000001,代理商,华北,,,,,,,,
458,2022,大型项目,264.1,0.84,0.7936,0.0464,代理商,华南,,,,,,,,
459,2022,微型项目,4.5,0.75,0.4222,0.3278,代理商,华南,,,,,,,,
460,2022,微型项目,7.97,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
461,2022,大型项目,146.5,0.82,0.8235,-0.0035000000000000586,代理商,华北,,,,,,,,
462,2022,小型项目,20.0,0.95,0.892,0.05799999999999994,代理商,华北,,,,,,,,
463,2022,微型项目,4.65,0.97,0.9527,0.017299999999999982,代理商,华东,,,,,,,,
464,2022,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
465,2022,微型项目,1.2,0.89,1.0,-0.10999999999999999,代理商,华北,,,,,,,,
466,2022,小型项目,18.1,0.92,0.9337,-0.013699999999999934,代理商,华东,,,,,,,,
467,2022,小型项目,18.1,0.95,0.9337,0.01629999999999998,代理商,华东,,,,,,,,
468,2022,微型项目,8.0,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
469,2022,微型项目,9.02,0.97,0.9379,0.03210000000000002,代理商,华南,,,,,,,,
470,2022,微型项目,5.7,0.96,0.8933,0.06669999999999998,直签,华南,,,,,,,,
471,2022,微型项目,8.5,0.97,0.8682,0.1018,直签,华南,,,,,,,,
472,2022,中型项目,51.0,0.72,0.8882,-0.16820000000000002,代理商,华北,,,,,,,,
473,2022,中型项目,38.0,0.82,0.8882,-0.06820000000000004,代理商,华北,,,,,,,,
474,2022,微型项目,1.02,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
475,2022,微型项目,5.9,0.97,0.7627,0.20729999999999993,直签,西南,,,,,,,,
476,2022,中型项目,40.0,0.84,0.9175,-0.07750000000000001,代理商,华东,,,,,,,,
477,2022,中型项目,45.0,0.86,0.9523,-0.09230000000000005,代理商,华北,,,,,,,,
478,2022,中型项目,50.25,0.75,0.6687,0.08130000000000004,代理商,华南,,,,,,,,
479,2022,中型项目,80.0,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
480,2022,小型项目,21.2,0.97,0.9075,0.0625,代理商,华南,,,,,,,,
481,2022,中型项目,90.0,0.79,0.8081,-0.018100000000000005,代理商,华北,,,,,,,,
482,2022,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
483,2022,微型项目,10.0,0.93,0.86,0.07000000000000006,代理商,华中,,,,,,,,
484,2022,中型项目,37.0,0.96,0.9313,0.028699999999999948,直签,华北,,,,,,,,
485,2022,微型项目,6.0,0.94,0.3,0.6399999999999999,代理商,华东,,,,,,,,
486,2022,中型项目,94.16,0.96,0.9817,-0.021700000000000053,代理商,华北,,,,,,,,
487,2022,中型项目,50.0,0.82,0.844,-0.02400000000000002,代理商,华南,,,,,,,,
488,2022,小型项目,19.4,0.95,0.8841,0.06589999999999996,直签,华北,,,,,,,,
489,2022,微型项目,10.0,0.77,0.89,-0.12,代理商,华南,,,,,,,,
490,2022,中型项目,62.75,0.1,0.0798,0.02020000000000001,直签,华南,,,,,,,,
491,2022,微型项目,5.0,0.97,0.916,0.05399999999999994,代理商,华南,,,,,,,,
492,2022,中型项目,48.0,0.71,0.7656,-0.05559999999999998,直签,华北,,,,,,,,
493,2022,中型项目,49.0,0.96,0.9469,0.0131,代理商,华南,,,,,,,,
494,2022,中型项目,75.66,0.69,0.6966,-0.00660000000000005,直签,华北,,,,,,,,
495,2022,中型项目,45.0,0.77,0.742,0.028000000000000025,代理商,华北,,,,,,,,
496,2022,微型项目,5.0,0.9,1.0,-0.09999999999999998,代理商,西北,,,,,,,,
497,2022,中型项目,55.0,0.86,0.8886,-0.02859999999999996,直签,华北,,,,,,,,
498,2022,超大型项目,432.23,0.45,0.4442,0.005800000000000027,直签,华南,,,,,,,,
499,2022,中型项目,66.5,0.9,0.9429,-0.04289999999999994,代理商,华东,,,,,,,,
500,2022,小型项目,17.0,0.82,0.8582,-0.03820000000000001,代理商,华北,,,,,,,,
501,2022,大型项目,145.0,0.72,0.9504,-0.23040000000000005,直签,华北,,,,,,,,
502,2022,中型项目,56.5,0.8,0.7796,0.020400000000000085,直签,华南,,,,,,,,
503,2022,中型项目,77.61,0.73,0.5301,0.19989999999999997,直签,西南,,,,,,,,
504,2022,小型项目,23.0,0.87,0.8952,-0.0252,代理商,华北,,,,,,,,
505,2022,超大型项目,399.0,0.67,0.4182,0.2518,直签,华东,,,,,,,,
506,2022,微型项目,8.88,0.97,0.8356,0.13439999999999996,直签,华北,,,,,,,,
507,2022,大型项目,220.25,0.5,0.2058,0.2942,直签,西北,,,,,,,,
508,2022,微型项目,1.5,0.77,1.0,-0.22999999999999998,代理商,华东,,,,,,,,
509,2022,微型项目,1.6,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
510,2022,中型项目,90.0,0.81,0.9367,-0.12669999999999992,代理商,华北,,,,,,,,
511,2022,微型项目,2.8,0.97,0.9,0.06999999999999995,代理商,华南,,,,,,,,
512,2022,中型项目,85.0,0.86,0.8964,-0.03639999999999999,直签,华北,,,,,,,,
513,2022,微型项目,7.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
514,2022,小型项目,16.0,0.86,0.8813,-0.021299999999999986,代理商,华北,,,,,,,,
515,2022,微型项目,3.0,0.97,0.5067,0.46329999999999993,直签,华北,,,,,,,,
516,2022,中型项目,44.8,0.87,0.9133,-0.043300000000000005,直签,西南,,,,,,,,
517,2022,微型项目,2.25,0.97,0.6889,0.2811,代理商,华东,,,,,,,,
518,2022,小型项目,30.0,0.63,0.018,0.612,代理商,华东,,,,,,,,
519,2022,中型项目,33.9,0.79,0.6785,0.11150000000000004,直签,华南,,,,,,,,
520,2022,中型项目,34.5,0.96,0.9796,-0.019600000000000062,代理商,华南,,,,,,,,
521,2022,中型项目,57.97,0.8,0.5382,0.26180000000000003,直签,华东,,,,,,,,
522,2022,微型项目,5.0,0.46,0.58,-0.11999999999999994,代理商,华南,,,,,,,,
523,2022,微型项目,5.0,0.92,0.748,0.17200000000000004,代理商,华东,,,,,,,,
524,2022,微型项目,9.75,0.96,0.7548,0.20519999999999994,直签,华北,,,,,,,,
525,2022,中型项目,80.0,0.76,0.7775,-0.01749999999999996,直签,华东,,,,,,,,
526,2022,中型项目,54.72,0.56,0.5051,0.05490000000000006,代理商,华北,,,,,,,,
527,2022,小型项目,22.5,0.86,0.8349,0.02510000000000001,直签,西南,,,,,,,,
528,2022,微型项目,2.0,0.86,0.79,0.06999999999999995,代理商,华南,,,,,,,,
529,2022,小型项目,18.0,0.92,0.8219,0.09810000000000008,直签,华北,,,,,,,,
530,2022,中型项目,50.0,0.92,0.9558,-0.03579999999999994,代理商,华北,,,,,,,,
531,2022,微型项目,7.48,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
532,2022,大型项目,170.0,0.96,0.9553,0.0046999999999999265,代理商,华北,,,,,,,,
533,2022,微型项目,2.28,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
534,2022,中型项目,77.0,0.76,0.711,0.049000000000000044,直签,华北,,,,,,,,
535,2022,微型项目,3.9,0.97,0.7949,0.17509999999999992,直签,华北,,,,,,,,
536,2022,大型项目,189.0,0.67,0.7025,-0.03249999999999997,直签,华北,,,,,,,,
537,2022,中型项目,56.0,0.87,0.8751,-0.005099999999999993,代理商,华东,,,,,,,,
538,2022,中型项目,36.0,0.68,0.8415,-0.16149999999999998,直签,西南,,,,,,,,
539,2022,小型项目,11.94,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
540,2022,微型项目,2.7,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
541,2022,微型项目,2.4,0.97,0.8167,0.1533,代理商,华东,,,,,,,,
542,2022,微型项目,6.8,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
543,2022,微型项目,3.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
544,2022,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
545,2022,小型项目,26.0,0.77,0.819,-0.04899999999999993,直签,华北,,,,,,,,
546,2022,小型项目,24.23,0.75,0.8734,-0.12339999999999995,直签,华东,,,,,,,,
547,2022,中型项目,62.0,0.89,1.0,-0.10999999999999999,代理商,华北,,,,,,,,
548,2022,微型项目,2.7,0.88,0.8963,-0.01629999999999998,直签,华南,,,,,,,,
549,2022,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
550,2022,小型项目,22.218,-0.22,-0.0653,-0.1547,直签,西南,,,,,,,,
551,2022,小型项目,17.0,0.97,0.9753,-0.005299999999999971,代理商,华南,,,,,,,,
552,2022,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
553,2022,微型项目,9.0,0.83,0.77,0.05999999999999994,代理商,华北,,,,,,,,
554,2022,微型项目,8.0,0.89,0.21,0.68,直签,华东,,,,,,,,
555,2022,微型项目,5.0,0.95,0.704,0.246,代理商,华南,,,,,,,,
556,2022,微型项目,3.498,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
557,2022,小型项目,12.0,0.95,0.9767,-0.026700000000000057,代理商,西南,,,,,,,,
558,2022,中型项目,43.5,0.83,0.9038,-0.07380000000000009,直签,华北,,,,,,,,
559,2022,中型项目,42.8,0.86,0.7397,0.12029999999999996,直签,华中,,,,,,,,
560,2022,小型项目,23.0,0.4,0.6687,-0.26869999999999994,直签,华东,,,,,,,,
561,2022,微型项目,3.5,0.93,0.5771,0.3529000000000001,代理商,华北,,,,,,,,
562,2022,微型项目,6.5,0.97,0.9354,0.034599999999999964,代理商,华南,,,,,,,,
563,2022,中型项目,68.0,0.92,0.9426,-0.022599999999999953,代理商,华南,,,,,,,,
564,2022,小型项目,13.0,0.88,0.8,0.07999999999999996,代理商,华北,,,,,,,,
565,2022,微型项目,5.7,0.93,1.0,-0.06999999999999995,直签,华北,,,,,,,,
566,2022,微型项目,1.48,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
567,2022,中型项目,99.0,0.61,0.5237,0.08629999999999993,直签,华北,,,,,,,,
568,2022,小型项目,11.0,0.95,0.7273,0.2227,代理商,华东,,,,,,,,
569,2022,大型项目,226.41,0.92,0.9707,-0.05069999999999997,代理商,西南,,,,,,,,
570,2022,微型项目,6.0,0.97,0.89,0.07999999999999996,代理商,华北,,,,,,,,
571,2022,中型项目,40.0,0.41,0.4211,-0.011099999999999999,代理商,华东,,,,,,,,
572,2022,微型项目,2.5,0.97,1.0,-0.030000000000000027,代理商,西北,,,,,,,,
573,2022,小型项目,15.0,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
574,2022,中型项目,48.0,0.95,0.9458,0.0041999999999999815,代理商,华南,,,,,,,,
575,2022,小型项目,22.0,0.69,0.8377,-0.14770000000000005,代理商,华北,,,,,,,,
576,2022,微型项目,5.0,0.96,0.7556,0.20439999999999992,代理商,华东,,,,,,,,
577,2022,微型项目,2.25,0.94,0.56,0.3799999999999999,直签,华北,,,,,,,,
578,2022,微型项目,3.15,0.97,0.8667,0.10329999999999995,代理商,华东,,,,,,,,
579,2022,小型项目,13.56,0.96,1.0,-0.040000000000000036,直签,华南,,,,,,,,
580,2022,小型项目,29.26,0.91,1.0,-0.08999999999999997,直签,华南,,,,,,,,
581,2022,微型项目,7.0,0.92,0.8857,0.0343,代理商,华北,,,,,,,,
582,2022,小型项目,17.8,0.94,0.9607,-0.02070000000000005,代理商,华东,,,,,,,,
583,2022,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
584,2022,微型项目,5.0,0.95,0.704,0.246,代理商,华南,,,,,,,,
585,2022,小型项目,17.0,0.56,0.8206,-0.26059999999999994,代理商,华北,,,,,,,,
586,2022,中型项目,52.5,0.96,1.0,-0.040000000000000036,代理商,华南,,,,,,,,
587,2022,中型项目,36.0,0.72,0.8194,-0.09940000000000004,代理商,华南,,,,,,,,
588,2022,微型项目,1.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
589,2022,微型项目,4.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
590,2022,微型项目,6.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
591,2022,超大型项目,408.36,0.78,0.7961,-0.016100000000000003,代理商,华南,,,,,,,,
592,2022,中型项目,73.0,0.76,0.8159,-0.05589999999999995,代理商,华南,,,,,,,,
593,2022,中型项目,56.0,0.86,0.7855,0.07450000000000001,代理商,华南,,,,,,,,
594,2022,小型项目,18.0,0.96,0.9345,0.025499999999999967,直签,华北,,,,,,,,
595,2022,大型项目,184.0,0.87,0.9537,-0.0837,代理商,华北,,,,,,,,
596,2022,微型项目,10.0,0.89,0.8895,0.000500000000000056,代理商,华南,,,,,,,,
